// Sigle credit categorie parcours
ATDOC 0 HP ISI
// FORMATION ISI
GL02 6 CS ISI
NF16 6 CS ISI
NF20 6 CS ISI
IF07 6 TM ISI
IF09 6 TM ISI
IF14 6 TM ISI
LO02 6 TM ISI
IF02 6 CS ISI
LO12 6 CS ISI
RE04 6 CS ISI
EG23 6 TM ISI
IF03 6 TM ISI
LO07 6 TM ISI
NF19 6 TM ISI
GS13 6 CS ISI
IF10 6 CS ISI
IF15 6 CS ISI
GS11 6 TM ISI
IF16 6 TM ISI
IF17 6 TM ISI
IF20 6 TM ISI
IF26 6 TM ISI
IF05 6 CS ISI
IF19 6 CS ISI
IF25 6 CS ISI
IF08 6 TM ISI
IF11 6 TM ISI
IF22 6 TM ISI
IF24 6 TM ISI
LO10 6 TM ISI
// Equivalence ??
EX58 6 CS ISI
// Stage
TN04 6 ST TC
TN09 30 ST ISI
TN10 30 ST ISI
TN30 30 ST MASTER
// TX CR AV
TX 6 TM TC
CR 6 TM TC
AV 6 TM TC
// Maths 
MATH 6 CS TC
// Physique 
PHYS 6 CS TC
// Chimie
CHMA 6 CS TC
// LANGUE
LE 4 EC INCONNUE
FM 4 EC TC
IT 4 EC TC
KO 4 EC TC
LC 4 EC TC
LEM 4 EC TC
LFT01 4 EC TC
LFT02 4 EC TC
LFT 4 EC TC
LF 4 EC TC
LG 4 EC TC 
LP 4 EC TC
LS 4 EC TC
LXIT 4 EC TC
LXL 4 EC TC
SD 4 EC TC
SI 4 EC TC
// GE
GE 4 ME TC
DI06 6 ME TC
EI04L 6 ME TC
FQ54 6 ME TC
GE38 6 ME TC
GE31 6 ME TC
GE41 6 ME TC
MG06 6 ME TC
//HT
EE06 4 HT TC
EP01 4 HT TC
HT07 4 HT TC
PH19 4 HT TC
PO03 4 HT TC
SC 4 HT TC
SO 4 HT TC
SE 4 HT TC
EV 4 HT TC
HT 4 HT TC
PH 4 HT TC
SO 4 HT TC
HT 4 HT TC
AP03 4 HT TC
CTC1 4 HT TC
HT03 4 HT TC
LI 4 HT TC
MTC01 4 HT TC
SP11 4 HT TC
// TC
MS11 6 TM TC
TN04 6 TM TC
TNEV 6 TM TC
SI10 4 EC TC
BESST 2 TM TC
EN01 6 TM TC
EN03 6 TM TC
GL01 6 TM TC
NF04 6 TM TC
TN01 6 TM TC
SY01 6 TM TC
C2i1 6 TM TC
EN01 4 TM TC
MM01 6 TM TC
NF02 6 TM TC
NF05 6 TM TC
TITS 6 TM TC
TN01 6 TM TC
TN02 6 TM TC
ST05 6 ST TC
TN07 6 HP TC
SH01 6 CS TC
EN03 6 TM TC
TN08 6 TM TC
// FORMATION AAI
RE01 6 CS AAI
SY02 6 CS AAI
SY30 6 CS AAI
SY06 6 CS AAI
LO02 6 TM AAI
CS03 6 TM AAI
SY31 6 TM AAI
SY32 6 CS AAI
TI02 6 CS AAI
TI03 6 CS AAI
IF30 6 TM AAI
LO07 6 TM AAI
EN06 6 CS AAI
SY33 6 TM AAI
DI03 6 CS AAI
RO02 6 CS AAI
EB01 6 TM AAI
EB02 6 TM AAI
CS06 6 TM AAI
SY34 6 TM AAI
TI01 6 CS AAI
EB03 6 TM AAI
EN07 6 TM AAI
EB04 6 TM AAI
RO01 6 TM AAI
SY35 6 TM AAI
GE21r 4 NULL AAI
GE31r 4 NULL AAI
GE36r 4 NULL AAI
GE37r 4 NULL AAÍ
GE10r 4 NULL AAI
GE33r 4 NULL AAI
GE43r 4 NULL AAI
// FORMATION GI
LO01 6 CS TC
MT12 6 CS GI
SY02 6 CS GI
SY12 6 CS GI
SY14 6 CS GI
CS01 6 TM GI
CS03 6 TM GI
FQ01 6 TM GI
GP06 6 TM GI
GP28 6 TM GI
FQ03 6 CS GI
MT14 6 CS GI
SY13 6 CS GI
SY18 6 CS GI
CS01 6 TM GI
CS03 6 TM GI
FQ01 6 TM GI
SY15 6 TM GÍ
MT11 6 NULL GI
GP27 6 CS GI
SY06 6 CS GI
CL01 6 TM GI
CL02 6 TM GI
CL07 6 TM GI
EV12 6 TM GI
FQ05 6 TM GI
SY17 6 TM GI
CS22 6 TM GI
TS02 6 TM GI
FQ04 6 CS GI
SY05 6 CS GI
CL03 6 TM GI
CL04 6 TM GI
DI02 6 TM GI
EV10 6 TM GI
FQ02 6 TM GI
GP17 6 TM GI
IF24 6 TM GI
NF14 6 TM GI
SY20 6 TM GI
TS01 6 TM GI
// FORMATION GM
MQ01 6 CS GM
MQ03 6 CS GM
MQ07 6 CS GM
MT13 6 CS GM
CS03 6 TM GM
TN14 6 TM GM
TN15 6 TM GM
EA01 6 CS GM
MQ02 6 CS GM
MQ04 6 CS GM
CS01 6 TM GM
MQ06 6 TM GM
TN12 6 TM GM
TN20 6 TM GḾ
EA03 6 CS GM
